# Database: DFSSAM09
# Query: SELECT * FROM PCB01.STOKSTAT
# Timestamp: Mon Jul 20 10:45:08 CDT 2026
# User: IBMUSER

PARTROOT_PARTKEY,STOCKEY
02AN960C10,00 AA16511
02AN960C10,00 AK2877F
02AN960C10,0028009126
02CK05CW181K,00 VF52906
02CK05CW181K,0025900326
02CK05CW181K,0025910926
02CSR13G104KL,00 DB7455R
02CSR13G104KL,00 SK21713
02CSR13G104KL,0025502526
02JAN1N976B,0025509126
02MS16995-28,00 AA16511
02MS16995-28,00 BA16515
02MS16995-28,00 FF5546D
02MS16995-28,0025910926
02N51P3003F000,0025906026
02RC07GF273J,00 AK24527
02RC07GF273J,0028009126
02RC07GF273J,0028011126
02106B1293P009,0025900326
02106B1293P009,0025906026
02106B1293P009,0025910926
02250236-001,0025900326
02250236-001,0025906026
02250236-001,0025910926
02250239,0025910926
02250794,0025900326
02250794,0025906026
02250794,0025910926
02250796,0025906026
02250796,0025910926
02250891,0025906026
02250891,0025910926
02252252-003,0025900326
02252252-003,0025906026
02252252-003,0025910926
023003802,0025900326
023003802,0025906026
023003802,0025910926
023003806,0025900326
023003806,0025906026
023003806,0025910926
023007228,0025906026
023007228,0025910926
023008027,0025906026
023008027,0025910926
023009228,0025900326
023009228,0025906026
023009270,0025906026
023009270,0025910926
023009280,0025910926
023013405-002,0025900326
023013405-002,0025906026
023013405-002,0025910926
023013412,0025906026
023013412,0025910926
023013429-001,0025906026
023013429-001,0025910926
023013460-001,0025900326
023013460-001,0025906026
023013460-001,0025910926
023013548-002,0025900326
023013548-002,0025906026
023013548-002,0025910926
0256134-016,0025900326
0256134-016,0025906026
0256134-016,0025910926
0260003-118,0025900326
0260003-118,0025906026
0260003-118,0025910926
02652540-002,0027909126
02652540-002,0028009126
02652799,0028009126
0268663-102,0025906026
0268663-102,0025910926
0268663-104,0025906026
0268663-104,0025910926
0269857-635,0025906026
0269857-635,0025910926
027060654P001,0025906026
027060654P001,0025910926
027438995P002,0025900326
027438995P002,0025906026
027454949P001,0025900326
027454949P001,0025906026
027454949P001,0025910926
027618032P101,0025900326
027618032P101,0025906026
027618032P101,0025910926
027618289P049,0025906026
027618289P049,0025910926
027630843P513,0025900326
027630843P513,0025906026
027630843P513,0025910926
027736847P001,0025900326
027736847P001,0025906026
027736847P001,0025910926
02803008035,0025906026
02803008035,0025910926
0282124-056,0025900326
0282124-056,0025910926
0282124-640,0025900326
0282124-640,0025906026
0282125-869,0025906026
0282125-869,0025910926
0284353-456,0025900326
0284353-456,0025910926
0290-3033334,0028009126
0290-3033665,0028009126
02905537-384,0028002526
02905537-384,0028009126
02906028-040,0028009126
02907021-782,0028009126
02922294-002,00 TF3467A
02922294-002,00 TF5877N
02922294-002,0028009026
02922294-002,0028009126
02922399-001,0028009126
02925363-136,0028009126
02930331-102,0028009126
02930331-123,0028009126
02930333-001,0028009126
02946325-086,00 BF34674
02946325-086,00 VF34610
02946325-086,0028009026
02946325-086,0028009126
02950060-006,0028009126
02954017-001,00 JF3467A
02954017-001,00 TF3467A
02954017-001,00 TF5877N
02954017-001,0028009126
02958007-180,0028009126
02960528-067,00 DF34671
02960528-067,0028009026
02960528-067,0028009126
02968534-001,0028009126
02974810-010,0028002526
02974810-010,0028009126
02975105-001,0028009126
02989036-001,0028009126
