PARTKEY,PARTNAME,PARTDESC
ANC09236873      ,CAT 5 ETHERN,5 ETHERNET           
ANC09236873 CAT 6,ETHEERNET   ,ERNET                
ANC906135       C,AT ETH4     ,TH4                  
02AN960B10       ,,
02AN960C10       ,         WAS,     WASHER          
02CK05CW181K     ,         CAP,     CAPACITOR       
02CSR13G104KL    ,         KR1,     KR1J50KS        
02JAN1N976B      ,         DIO,     DIODE CODE-A    
02MS16995-28     ,         SCR,     SCREW           
02N51P3003F000   ,         SCR,     SCREW           
02RC07GF273J     ,         RES,     RESISTOR        
02106B1293P009   ,         RES,     RESISTOR        
02250236-001     ,         CAP,     CAPACITOR       
02250239         ,         TRA,     TRANSISTOR      
02250241-001     ,         CON,     CONNECTOR       
02250794         ,         RES,     RESISTOR        
02250796         ,         SWI,     SWITCH          
02250891         ,         SER,     SERVO VALVE     
02252252-003     ,         COU,     COUPLING        
023003802        ,         CHA,     CHASSIS         
023003806        ,         SWI,     SWITCH          
023007228        ,         HOU,     HOUSING         
023008027        ,         CAR,     CARD FRONT      
023009228        ,         CAP,     CAPACITOR       
023009270        ,         HOU,     HOUSING         
023009280        ,         HOU,     HOUSING CONV    
023013405-002    ,         MOU,     MOUNTING        
023013412        ,         COV,     COVER           
023013429-001    ,         COV,     COVER ASSY      
023013460-001    ,         CAP,     CAPACITOR       
023013548-002    ,         CHA,     CHASSIS         
0256134-016      ,         NAS,     NAS671C1 NUT    
0260003-118      ,         773,     7734304P8661T0 R
02652540-002     ,         WIR,     WIRE WRAP       
02652799         ,         PUL,     PULSE TRANSFORME
0268663-102      ,         CM0,     CM05C100K03     
0268663-104      ,         CM0,     CM05D200J03     
0269857-635      ,         CP0,     CP09A1KE153K3 CA
027060654P001    ,         ELE,     ELE TUBE        
027438995P002    ,         NUT,     NUT             
027454949P001    ,         LAM,     LAMP HOLDER     
027618032P101    ,         CAP,     CAPACITOR       
027618289P049    ,         CIR,     CIRCUIT BREA    
027630843P513    ,         RES,     RESISTOR        
027736847P001    ,         TRA,     TRANSFORMER     
02803008035      ,         GAS,     GASKET          
0282124-056      ,         RN6,     RN60C3161F      
0282124-640      ,         RN6,     RN65C9092F      
0282125-869      ,         RN7,     RN75C8252F      
0284353-456      ,         RW6,     RW67V472        
0290-3033334     ,         BON,     BONDED ASSY     
0290-3033665     ,         BON,     BONDED ASSY     
02905537-384     ,         CAP,     CAPACITOR       
02906028-040     ,         CAP,     CAPACITOR       
02907021-782     ,         CAP,     CAPACITOR       
02922294-002     ,         CON,     CONNECTOR       
02922399-001     ,         CON,     CONNECTOR       
02925363-136     ,         DIO,     DIODE ZENER     
02925380-101     ,         DIO,     DIODE           
02930331-102     ,         FIL,     FILTER          
02930331-123     ,         FIL,     FILTER          
02930333-001     ,         DIS,     DISCRIMINATO    
02946325-086     ,         PIN,     PIN             
02950060-006     ,         REL,     RELAY           
02954017-001     ,         RES,     RESISTOR        
02958007-180     ,         RES,     RESISTOR        
02960528-067     ,         RES,     RESISTOR        
02968534-001     ,         SOC,     SOCKET          
02974810-010     ,         THE,     THERMOSTAT      
02975105-001     ,         TRA,     TRANSFORMER     
02989036-001     ,         TRA,     TRANSFORMER     
123              ,CATHCATH4   ,CATH4                
